Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
Tsinghua i.Center,Tsinghua i.Center,China,,Beijing,http://www.xlzx.tsinghua.edu.cn,1 September 1922,active,2423298.5,
P'yŏngyang Hackerspace,P'yŏngyang Hackerspace,Best Korea,P'yŏngyang,P'yŏngyang,http://pyongyanghackerspace.org,15 April 1946,active,2431925.5,
PRG,PRG,Denmark,Copenhagen,Lyngby,http://www.prg.dtu.dk/,1 January 1950,active,2433282.5,
Hackerspace Malaysia,Hackerspace Malaysia,MALAYSIA,Kuala Lumpur,Cyberjaya,http://planned,1 January 1970,planned,2440587.5,
Omega Verksted,Omega Verksted,Norway,Sør Trøndelag,Trondheim,http://www.omegav.no,1 March 1971,active,2441011.5,
The Virtual Free University Think Tank,The Virtual Free University Think Tank,Canada,British Columbia,Vancouver,http://VirtualFreeu.com,19 September 1972,closed,2441579.5,
MITERS,MITERS,United States of America,Massachusetts,Boston,http://miters.mit.edu,1973,active,2441683.5,
Computer Club of Western Michigan University,Computer Club of Western Michigan University,United States of America,Michigan,Kalamazoo,http://yakko.cs.wmich.edu,1 October 1976,active,2443052.5,
Computer Club an der RWTH Aachen e.V.,Computer Club an der RWTH Aachen e.V.,Germany,Nordrhein-Westfalen,Aachen,http://www.ccac.rwth-aachen.de/,1 January 1982,active,2444970.5,
The Clay Store,The Clay Store,New Zealand,Auckland,North Shore,,1 January 1983,active,2445335.5,
Interaccess electronic media arts centre,Interaccess electronic media arts centre,Canada,Ontario,Toronto,http://www.interaccess.org/,1 July 1983,active,2445516.5,
Chaos Computer Club Hamburg,Chaos Computer Club Hamburg,Germany,Hamburg,Hamburg,http://www.hamburg.ccc.de/,12 April 1985,active,2446167.5,
Munich Maker Space MCSM,Munich Maker Space MCSM,Germany,Bavaria,Munich,http://munichmakerspace.de/,1 January 1988,active,2447161.5,
Computerclub Ostfriesland,Computerclub Ostfriesland,Germany,Niedersachsen,Hesel,http://www.cco-ev.de/,1 January 1990,active,2447892.5,
DogSolitude,DogSolitude,United States of America,,,,1 March 1990,closed,2447951.5,
Toppoint e.V.,Toppoint e.V.,Germany,Schleswig-Holstein,Kiel,http://toppoint.de,20 July 1990,active,2448092.5,
ACTLab,ACTLab,United States of America,Texas,Austin,http://www.actlab.utexas.edu,2 August 1992,closed,2448836.5,
L0pht,L0pht,United States of America,Massachusetts,Watertown,http://www.l0pht.com,15 July 1993,closed,2449183.5,
Huntsville Alabama L5 Society (HAL5) - Project HALO,Huntsville Alabama L5 Society (HAL5) - Project HALO,United States of America,Alabama,Huntsville,http://chapters.nss.org/al/HAL5/HALO-Intro.shtml,1 January 1994,active,2449353.5,
Clever inside,Clever inside,Germany,Brandenburg,Lübbenau,http://www.jfvnet.de/,6 July 1994,active,2449539.5,
The Geek Group,The Geek Group,United States of America,Michigan,Grand Rapids,http://www.thegeekgroup.org,7 July 1994,active,2449540.5,
LJUDMILA,LJUDMILA,Slovenia,,Ljubljana,http://www.ljudmila.org/,1 November 1994,active,2449657.5,
Freaknet,Freaknet,Italy,Sicily,Catania,http://freaknet.org,24 November 1994,active,2449680.5,
IN-Berlin,IN-Berlin,Germany,Germany,Berlin,http://www.in-berlin.de/,3 February 1995,active,2449751.5,
C-base,C-base,Germany,Berlin,Berlin,https://c-base.org/,20 August 1995,active,2449949.5,
Spc,Spc,United Kingdom,London,Greenwich,http://spc.org/,10 June 1996,active,2450244.5,
Feral Technology Institute,Feral Technology Institute,United States of America,Iowa,Guernsey,http://feral-tech.com/,30 November 1996,active,2450417.5,
PING,PING,Norway,,Oslo,http://www.ping.uio.no,10 September 1997,closed,2450701.5,
C4,C4,Germany,Nordrhein-Westfalen,Cologne,https://koeln.ccc.de/,29 July 1998,active,2451023.5,
Spline,Spline,Germany,Berlin,Berlin,http://spline.de,26 October 1998,active,2451112.5,
Labomedia,Labomedia,France,Centre,Orléans,http://labomedia.org,4 January 1999,active,2451182.5,
Thebarn,Thebarn,United States of America,New Jersey,Long branch,http://none yet,19 April 1999,planned,2451287.5,
